id,energy_system_id,monthly_measurement_id,baseline_model_id,ide_id,alert_rule_id,severity,message,value_detected,threshold_value,status,created_at,closed_at,closed_by,comments
1,1,2,1,1,2,medium,Desviación sobre 10% y requiere revisión,12.0,10,open,2024-02-28T12:00:00+00:00,,,
2,1,3,1,1,2,medium,Desviación sobre 10% y requiere revisión,18.0,10,open,2024-03-28T12:00:00+00:00,,,
3,1,6,1,1,1,high,Desviación crítica superior al 20%,22.0,20,open,2024-06-28T12:00:00+00:00,,,
4,1,8,1,1,2,medium,Desviación sobre 10% y requiere revisión,15.0,10,open,2024-08-28T12:00:00+00:00,,,
5,1,10,1,1,2,medium,Desviación sobre 10% y requiere revisión,11.0,10,open,2024-10-28T12:00:00+00:00,,,
6,1,11,1,1,1,high,Desviación crítica superior al 20%,24.0,20,open,2024-11-28T12:00:00+00:00,,,
7,1,15,2,2,7,medium,Desviación sobre 10% y requiere revisión,14.0,10,open,2024-03-28T12:00:00+00:00,,,
8,1,18,2,2,7,medium,Desviación sobre 10% y requiere revisión,18.0,10,open,2024-06-28T12:00:00+00:00,,,
9,1,20,2,2,6,high,Desviación crítica superior al 20%,21.0,20,open,2024-08-28T12:00:00+00:00,,,
10,1,23,2,2,6,high,Desviación crítica superior al 20%,23.0,20,open,2024-11-28T12:00:00+00:00,,,
11,1,26,3,3,12,medium,Desviación sobre 10% y requiere revisión,11.0,10,open,2024-02-28T12:00:00+00:00,,,
12,1,27,3,3,12,medium,Desviación sobre 10% y requiere revisión,17.0,10,open,2024-03-28T12:00:00+00:00,,,
13,1,30,3,3,12,medium,Desviación sobre 10% y requiere revisión,19.0,10,open,2024-06-28T12:00:00+00:00,,,
14,1,32,3,3,12,medium,Desviación sobre 10% y requiere revisión,16.0,10,open,2024-08-28T12:00:00+00:00,,,
15,1,34,3,3,12,medium,Desviación sobre 10% y requiere revisión,13.0,10,open,2024-10-28T12:00:00+00:00,,,
16,1,35,3,3,11,high,Desviación crítica superior al 20%,21.0,20,open,2024-11-28T12:00:00+00:00,,,
17,1,39,4,4,17,medium,Desviación sobre 10% y requiere revisión,12.0,10,open,2024-03-28T12:00:00+00:00,,,
18,1,42,4,4,17,medium,Desviación sobre 10% y requiere revisión,15.0,10,open,2024-06-28T12:00:00+00:00,,,
19,1,44,4,4,17,medium,Desviación sobre 10% y requiere revisión,18.0,10,open,2024-08-28T12:00:00+00:00,,,
20,1,47,4,4,17,medium,Desviación sobre 10% y requiere revisión,20.0,10,open,2024-11-28T12:00:00+00:00,,,
21,1,51,5,5,22,medium,Desviación sobre 10% y requiere revisión,13.0,10,open,2024-03-28T12:00:00+00:00,,,
22,1,54,5,5,22,medium,Desviación sobre 10% y requiere revisión,16.0,10,open,2024-06-28T12:00:00+00:00,,,
23,1,56,5,5,22,medium,Desviación sobre 10% y requiere revisión,19.0,10,open,2024-08-28T12:00:00+00:00,,,
24,1,59,5,5,21,high,Desviación crítica superior al 20%,22.0,20,open,2024-11-28T12:00:00+00:00,,,
