id,energy_system_id,baseline_model_id,ide_id,metric,operator,threshold_value,threshold_percentage,severity,message_template,active
1,1,1,1,percentage_difference,>,,20,high,Desviación crítica superior al 20%,true
2,1,1,1,percentage_difference,>,,10,medium,Desviación sobre 10% y requiere revisión,true
3,1,1,1,missing_required_variable,=,1,,critical,Faltan variables requeridas,true
4,1,1,1,real_consumption,<=,0,,critical,El consumo real es cero o negativo,true
5,1,1,1,variable_out_of_range,=,1,,medium,Variable fuera de rango,true
6,1,2,2,percentage_difference,>,,20,high,Desviación crítica superior al 20%,true
7,1,2,2,percentage_difference,>,,10,medium,Desviación sobre 10% y requiere revisión,true
8,1,2,2,missing_required_variable,=,1,,critical,Faltan variables requeridas,true
9,1,2,2,real_consumption,<=,0,,critical,El consumo real es cero o negativo,true
10,1,2,2,variable_out_of_range,=,1,,medium,Variable fuera de rango,true
11,1,3,3,percentage_difference,>,,20,high,Desviación crítica superior al 20%,true
12,1,3,3,percentage_difference,>,,10,medium,Desviación sobre 10% y requiere revisión,true
13,1,3,3,missing_required_variable,=,1,,critical,Faltan variables requeridas,true
14,1,3,3,real_consumption,<=,0,,critical,El consumo real es cero o negativo,true
15,1,3,3,variable_out_of_range,=,1,,medium,Variable fuera de rango,true
16,1,4,4,percentage_difference,>,,20,high,Desviación crítica superior al 20%,true
17,1,4,4,percentage_difference,>,,10,medium,Desviación sobre 10% y requiere revisión,true
18,1,4,4,missing_required_variable,=,1,,critical,Faltan variables requeridas,true
19,1,4,4,real_consumption,<=,0,,critical,El consumo real es cero o negativo,true
20,1,4,4,variable_out_of_range,=,1,,medium,Variable fuera de rango,true
21,1,5,5,percentage_difference,>,,20,high,Desviación crítica superior al 20%,true
22,1,5,5,percentage_difference,>,,10,medium,Desviación sobre 10% y requiere revisión,true
23,1,5,5,missing_required_variable,=,1,,critical,Faltan variables requeridas,true
24,1,5,5,real_consumption,<=,0,,critical,El consumo real es cero o negativo,true
25,1,5,5,variable_out_of_range,=,1,,medium,Variable fuera de rango,true
