id,monthly_measurement_id,user_id,action,field_name,old_value,new_value,comment,created_at
1,1,1,created,,,,Creación de seguimiento mensual,2024-01-28T12:00:00+00:00
2,1,2,submitted,status,draft,submitted,Cambio de estado a submitted,2024-01-28T12:30:00+00:00
3,2,1,created,,,,Creación de seguimiento mensual,2024-02-28T12:00:00+00:00
4,2,2,reviewed,status,draft,reviewed,Cambio de estado a reviewed,2024-02-28T12:30:00+00:00
5,3,1,created,,,,Creación de seguimiento mensual,2024-03-28T12:00:00+00:00
6,3,2,approved,status,draft,approved,Cambio de estado a approved,2024-03-28T12:30:00+00:00
7,4,1,created,,,,Creación de seguimiento mensual,2024-04-28T12:00:00+00:00
8,4,2,draft,status,draft,draft,Cambio de estado a draft,2024-04-28T12:30:00+00:00
9,5,1,created,,,,Creación de seguimiento mensual,2024-05-28T12:00:00+00:00
10,5,2,submitted,status,draft,submitted,Cambio de estado a submitted,2024-05-28T12:30:00+00:00
11,6,1,created,,,,Creación de seguimiento mensual,2024-06-28T12:00:00+00:00
12,6,2,reviewed,status,draft,reviewed,Cambio de estado a reviewed,2024-06-28T12:30:00+00:00
13,7,1,created,,,,Creación de seguimiento mensual,2024-07-28T12:00:00+00:00
14,7,2,approved,status,draft,approved,Cambio de estado a approved,2024-07-28T12:30:00+00:00
15,8,1,created,,,,Creación de seguimiento mensual,2024-08-28T12:00:00+00:00
16,8,2,draft,status,draft,draft,Cambio de estado a draft,2024-08-28T12:30:00+00:00
17,9,1,created,,,,Creación de seguimiento mensual,2024-09-28T12:00:00+00:00
18,9,2,submitted,status,draft,submitted,Cambio de estado a submitted,2024-09-28T12:30:00+00:00
19,10,1,created,,,,Creación de seguimiento mensual,2024-10-28T12:00:00+00:00
20,10,2,reviewed,status,draft,reviewed,Cambio de estado a reviewed,2024-10-28T12:30:00+00:00
21,11,1,created,,,,Creación de seguimiento mensual,2024-11-28T12:00:00+00:00
22,11,2,approved,status,draft,approved,Cambio de estado a approved,2024-11-28T12:30:00+00:00
23,12,1,created,,,,Creación de seguimiento mensual,2024-12-28T12:00:00+00:00
24,12,2,draft,status,draft,draft,Cambio de estado a draft,2024-12-28T12:30:00+00:00
25,13,1,created,,,,Creación de seguimiento mensual,2024-01-28T12:00:00+00:00
26,13,2,submitted,status,draft,submitted,Cambio de estado a submitted,2024-01-28T12:30:00+00:00
27,14,1,created,,,,Creación de seguimiento mensual,2024-02-28T12:00:00+00:00
28,14,2,reviewed,status,draft,reviewed,Cambio de estado a reviewed,2024-02-28T12:30:00+00:00
29,15,1,created,,,,Creación de seguimiento mensual,2024-03-28T12:00:00+00:00
30,15,2,approved,status,draft,approved,Cambio de estado a approved,2024-03-28T12:30:00+00:00
31,16,1,created,,,,Creación de seguimiento mensual,2024-04-28T12:00:00+00:00
32,16,2,draft,status,draft,draft,Cambio de estado a draft,2024-04-28T12:30:00+00:00
33,17,1,created,,,,Creación de seguimiento mensual,2024-05-28T12:00:00+00:00
34,17,2,submitted,status,draft,submitted,Cambio de estado a submitted,2024-05-28T12:30:00+00:00
35,18,1,created,,,,Creación de seguimiento mensual,2024-06-28T12:00:00+00:00
36,18,2,reviewed,status,draft,reviewed,Cambio de estado a reviewed,2024-06-28T12:30:00+00:00
37,19,1,created,,,,Creación de seguimiento mensual,2024-07-28T12:00:00+00:00
38,19,2,approved,status,draft,approved,Cambio de estado a approved,2024-07-28T12:30:00+00:00
39,20,1,created,,,,Creación de seguimiento mensual,2024-08-28T12:00:00+00:00
40,20,2,draft,status,draft,draft,Cambio de estado a draft,2024-08-28T12:30:00+00:00
41,21,1,created,,,,Creación de seguimiento mensual,2024-09-28T12:00:00+00:00
42,21,2,submitted,status,draft,submitted,Cambio de estado a submitted,2024-09-28T12:30:00+00:00
43,22,1,created,,,,Creación de seguimiento mensual,2024-10-28T12:00:00+00:00
44,22,2,reviewed,status,draft,reviewed,Cambio de estado a reviewed,2024-10-28T12:30:00+00:00
45,23,1,created,,,,Creación de seguimiento mensual,2024-11-28T12:00:00+00:00
46,23,2,approved,status,draft,approved,Cambio de estado a approved,2024-11-28T12:30:00+00:00
47,24,1,created,,,,Creación de seguimiento mensual,2024-12-28T12:00:00+00:00
48,24,2,draft,status,draft,draft,Cambio de estado a draft,2024-12-28T12:30:00+00:00
49,25,1,created,,,,Creación de seguimiento mensual,2024-01-28T12:00:00+00:00
50,25,2,submitted,status,draft,submitted,Cambio de estado a submitted,2024-01-28T12:30:00+00:00
51,26,1,created,,,,Creación de seguimiento mensual,2024-02-28T12:00:00+00:00
52,26,2,reviewed,status,draft,reviewed,Cambio de estado a reviewed,2024-02-28T12:30:00+00:00
53,27,1,created,,,,Creación de seguimiento mensual,2024-03-28T12:00:00+00:00
54,27,2,approved,status,draft,approved,Cambio de estado a approved,2024-03-28T12:30:00+00:00
55,28,1,created,,,,Creación de seguimiento mensual,2024-04-28T12:00:00+00:00
56,28,2,draft,status,draft,draft,Cambio de estado a draft,2024-04-28T12:30:00+00:00
57,29,1,created,,,,Creación de seguimiento mensual,2024-05-28T12:00:00+00:00
58,29,2,submitted,status,draft,submitted,Cambio de estado a submitted,2024-05-28T12:30:00+00:00
59,30,1,created,,,,Creación de seguimiento mensual,2024-06-28T12:00:00+00:00
60,30,2,reviewed,status,draft,reviewed,Cambio de estado a reviewed,2024-06-28T12:30:00+00:00
61,31,1,created,,,,Creación de seguimiento mensual,2024-07-28T12:00:00+00:00
62,31,2,approved,status,draft,approved,Cambio de estado a approved,2024-07-28T12:30:00+00:00
63,32,1,created,,,,Creación de seguimiento mensual,2024-08-28T12:00:00+00:00
64,32,2,draft,status,draft,draft,Cambio de estado a draft,2024-08-28T12:30:00+00:00
65,33,1,created,,,,Creación de seguimiento mensual,2024-09-28T12:00:00+00:00
66,33,2,submitted,status,draft,submitted,Cambio de estado a submitted,2024-09-28T12:30:00+00:00
67,34,1,created,,,,Creación de seguimiento mensual,2024-10-28T12:00:00+00:00
68,34,2,reviewed,status,draft,reviewed,Cambio de estado a reviewed,2024-10-28T12:30:00+00:00
69,35,1,created,,,,Creación de seguimiento mensual,2024-11-28T12:00:00+00:00
70,35,2,approved,status,draft,approved,Cambio de estado a approved,2024-11-28T12:30:00+00:00
71,36,1,created,,,,Creación de seguimiento mensual,2024-12-28T12:00:00+00:00
72,36,2,draft,status,draft,draft,Cambio de estado a draft,2024-12-28T12:30:00+00:00
73,37,1,created,,,,Creación de seguimiento mensual,2024-01-28T12:00:00+00:00
74,37,2,submitted,status,draft,submitted,Cambio de estado a submitted,2024-01-28T12:30:00+00:00
75,38,1,created,,,,Creación de seguimiento mensual,2024-02-28T12:00:00+00:00
76,38,2,reviewed,status,draft,reviewed,Cambio de estado a reviewed,2024-02-28T12:30:00+00:00
77,39,1,created,,,,Creación de seguimiento mensual,2024-03-28T12:00:00+00:00
78,39,2,approved,status,draft,approved,Cambio de estado a approved,2024-03-28T12:30:00+00:00
79,40,1,created,,,,Creación de seguimiento mensual,2024-04-28T12:00:00+00:00
80,40,2,draft,status,draft,draft,Cambio de estado a draft,2024-04-28T12:30:00+00:00
81,41,1,created,,,,Creación de seguimiento mensual,2024-05-28T12:00:00+00:00
