id,monthly_measurement_id,baseline_variable_id,variable_code,variable_name,value,unit,created_at,updated_at
1,1,1,horas_blower,Horas Blower,195.0,h,2024-01-28T12:00:00+00:00,2024-01-28T12:30:00+00:00
2,2,1,horas_blower,Horas Blower,210.0,h,2024-02-28T12:00:00+00:00,2024-02-28T12:30:00+00:00
3,3,1,horas_blower,Horas Blower,225.0,h,2024-03-28T12:00:00+00:00,2024-03-28T12:30:00+00:00
4,4,1,horas_blower,Horas Blower,240.0,h,2024-04-28T12:00:00+00:00,2024-04-28T12:30:00+00:00
5,5,1,horas_blower,Horas Blower,255.0,h,2024-05-28T12:00:00+00:00,2024-05-28T12:30:00+00:00
6,6,1,horas_blower,Horas Blower,270.0,h,2024-06-28T12:00:00+00:00,2024-06-28T12:30:00+00:00
7,7,1,horas_blower,Horas Blower,285.0,h,2024-07-28T12:00:00+00:00,2024-07-28T12:30:00+00:00
8,8,1,horas_blower,Horas Blower,300.0,h,2024-08-28T12:00:00+00:00,2024-08-28T12:30:00+00:00
9,9,1,horas_blower,Horas Blower,315.0,h,2024-09-28T12:00:00+00:00,2024-09-28T12:30:00+00:00
10,10,1,horas_blower,Horas Blower,330.0,h,2024-10-28T12:00:00+00:00,2024-10-28T12:30:00+00:00
11,11,1,horas_blower,Horas Blower,345.0,h,2024-11-28T12:00:00+00:00,2024-11-28T12:30:00+00:00
12,12,1,horas_blower,Horas Blower,360.0,h,2024-12-28T12:00:00+00:00,2024-12-28T12:30:00+00:00
13,13,2,horas_blower,Horas Blower,208.0,h,2024-01-28T12:00:00+00:00,2024-01-28T12:30:00+00:00
14,13,3,kwh_blower,Energía consumida Blower,24600.0,kWh,2024-01-28T12:00:00+00:00,2024-01-28T12:30:00+00:00
15,14,2,horas_blower,Horas Blower,216.0,h,2024-02-28T12:00:00+00:00,2024-02-28T12:30:00+00:00
16,14,3,kwh_blower,Energía consumida Blower,25200.0,kWh,2024-02-28T12:00:00+00:00,2024-02-28T12:30:00+00:00
17,15,2,horas_blower,Horas Blower,224.0,h,2024-03-28T12:00:00+00:00,2024-03-28T12:30:00+00:00
18,15,3,kwh_blower,Energía consumida Blower,25800.0,kWh,2024-03-28T12:00:00+00:00,2024-03-28T12:30:00+00:00
19,16,2,horas_blower,Horas Blower,232.0,h,2024-04-28T12:00:00+00:00,2024-04-28T12:30:00+00:00
20,16,3,kwh_blower,Energía consumida Blower,26400.0,kWh,2024-04-28T12:00:00+00:00,2024-04-28T12:30:00+00:00
21,17,2,horas_blower,Horas Blower,240.0,h,2024-05-28T12:00:00+00:00,2024-05-28T12:30:00+00:00
22,17,3,kwh_blower,Energía consumida Blower,27000.0,kWh,2024-05-28T12:00:00+00:00,2024-05-28T12:30:00+00:00
23,18,2,horas_blower,Horas Blower,248.0,h,2024-06-28T12:00:00+00:00,2024-06-28T12:30:00+00:00
24,18,3,kwh_blower,Energía consumida Blower,27600.0,kWh,2024-06-28T12:00:00+00:00,2024-06-28T12:30:00+00:00
25,19,2,horas_blower,Horas Blower,256.0,h,2024-07-28T12:00:00+00:00,2024-07-28T12:30:00+00:00
26,19,3,kwh_blower,Energía consumida Blower,28200.0,kWh,2024-07-28T12:00:00+00:00,2024-07-28T12:30:00+00:00
27,20,2,horas_blower,Horas Blower,264.0,h,2024-08-28T12:00:00+00:00,2024-08-28T12:30:00+00:00
28,20,3,kwh_blower,Energía consumida Blower,28800.0,kWh,2024-08-28T12:00:00+00:00,2024-08-28T12:30:00+00:00
29,21,2,horas_blower,Horas Blower,272.0,h,2024-09-28T12:00:00+00:00,2024-09-28T12:30:00+00:00
30,21,3,kwh_blower,Energía consumida Blower,29400.0,kWh,2024-09-28T12:00:00+00:00,2024-09-28T12:30:00+00:00
31,22,2,horas_blower,Horas Blower,280.0,h,2024-10-28T12:00:00+00:00,2024-10-28T12:30:00+00:00
32,22,3,kwh_blower,Energía consumida Blower,30000.0,kWh,2024-10-28T12:00:00+00:00,2024-10-28T12:30:00+00:00
33,23,2,horas_blower,Horas Blower,288.0,h,2024-11-28T12:00:00+00:00,2024-11-28T12:30:00+00:00
34,23,3,kwh_blower,Energía consumida Blower,30600.0,kWh,2024-11-28T12:00:00+00:00,2024-11-28T12:30:00+00:00
35,24,2,horas_blower,Horas Blower,296.0,h,2024-12-28T12:00:00+00:00,2024-12-28T12:30:00+00:00
36,24,3,kwh_blower,Energía consumida Blower,31200.0,kWh,2024-12-28T12:00:00+00:00,2024-12-28T12:30:00+00:00
37,25,4,temperatura_ambiente,Temperatura ambiente,12.6,°C,2024-01-28T12:00:00+00:00,2024-01-28T12:30:00+00:00
38,25,5,dummy_mes,Dummy mes,0.0,adimensional,2024-01-28T12:00:00+00:00,2024-01-28T12:30:00+00:00
39,25,6,delta_temperatura,Diferencia de temperatura,36.8,K,2024-01-28T12:00:00+00:00,2024-01-28T12:30:00+00:00
40,26,4,temperatura_ambiente,Temperatura ambiente,13.2,°C,2024-02-28T12:00:00+00:00,2024-02-28T12:30:00+00:00
41,26,5,dummy_mes,Dummy mes,0.0,adimensional,2024-02-28T12:00:00+00:00,2024-02-28T12:30:00+00:00
42,26,6,delta_temperatura,Diferencia de temperatura,38.6,K,2024-02-28T12:00:00+00:00,2024-02-28T12:30:00+00:00
43,27,4,temperatura_ambiente,Temperatura ambiente,13.8,°C,2024-03-28T12:00:00+00:00,2024-03-28T12:30:00+00:00
44,27,5,dummy_mes,Dummy mes,0.0,adimensional,2024-03-28T12:00:00+00:00,2024-03-28T12:30:00+00:00
45,27,6,delta_temperatura,Diferencia de temperatura,40.4,K,2024-03-28T12:00:00+00:00,2024-03-28T12:30:00+00:00
46,28,4,temperatura_ambiente,Temperatura ambiente,14.4,°C,2024-04-28T12:00:00+00:00,2024-04-28T12:30:00+00:00
47,28,5,dummy_mes,Dummy mes,0.0,adimensional,2024-04-28T12:00:00+00:00,2024-04-28T12:30:00+00:00
48,28,6,delta_temperatura,Diferencia de temperatura,42.2,K,2024-04-28T12:00:00+00:00,2024-04-28T12:30:00+00:00
49,29,4,temperatura_ambiente,Temperatura ambiente,15.0,°C,2024-05-28T12:00:00+00:00,2024-05-28T12:30:00+00:00
50,29,5,dummy_mes,Dummy mes,0.0,adimensional,2024-05-28T12:00:00+00:00,2024-05-28T12:30:00+00:00
51,29,6,delta_temperatura,Diferencia de temperatura,44.0,K,2024-05-28T12:00:00+00:00,2024-05-28T12:30:00+00:00
52,30,4,temperatura_ambiente,Temperatura ambiente,15.6,°C,2024-06-28T12:00:00+00:00,2024-06-28T12:30:00+00:00
53,30,5,dummy_mes,Dummy mes,1.0,adimensional,2024-06-28T12:00:00+00:00,2024-06-28T12:30:00+00:00
54,30,6,delta_temperatura,Diferencia de temperatura,45.8,K,2024-06-28T12:00:00+00:00,2024-06-28T12:30:00+00:00
55,31,4,temperatura_ambiente,Temperatura ambiente,16.2,°C,2024-07-28T12:00:00+00:00,2024-07-28T12:30:00+00:00
56,31,5,dummy_mes,Dummy mes,1.0,adimensional,2024-07-28T12:00:00+00:00,2024-07-28T12:30:00+00:00
57,31,6,delta_temperatura,Diferencia de temperatura,47.6,K,2024-07-28T12:00:00+00:00,2024-07-28T12:30:00+00:00
58,32,4,temperatura_ambiente,Temperatura ambiente,16.8,°C,2024-08-28T12:00:00+00:00,2024-08-28T12:30:00+00:00
59,32,5,dummy_mes,Dummy mes,1.0,adimensional,2024-08-28T12:00:00+00:00,2024-08-28T12:30:00+00:00
60,32,6,delta_temperatura,Diferencia de temperatura,49.4,K,2024-08-28T12:00:00+00:00,2024-08-28T12:30:00+00:00
61,33,4,temperatura_ambiente,Temperatura ambiente,17.4,°C,2024-09-28T12:00:00+00:00,2024-09-28T12:30:00+00:00
62,33,5,dummy_mes,Dummy mes,1.0,adimensional,2024-09-28T12:00:00+00:00,2024-09-28T12:30:00+00:00
63,33,6,delta_temperatura,Diferencia de temperatura,51.2,K,2024-09-28T12:00:00+00:00,2024-09-28T12:30:00+00:00
64,34,4,temperatura_ambiente,Temperatura ambiente,18.0,°C,2024-10-28T12:00:00+00:00,2024-10-28T12:30:00+00:00
65,34,5,dummy_mes,Dummy mes,0.0,adimensional,2024-10-28T12:00:00+00:00,2024-10-28T12:30:00+00:00
66,34,6,delta_temperatura,Diferencia de temperatura,53.0,K,2024-10-28T12:00:00+00:00,2024-10-28T12:30:00+00:00
67,35,4,temperatura_ambiente,Temperatura ambiente,18.6,°C,2024-11-28T12:00:00+00:00,2024-11-28T12:30:00+00:00
68,35,5,dummy_mes,Dummy mes,0.0,adimensional,2024-11-28T12:00:00+00:00,2024-11-28T12:30:00+00:00
69,35,6,delta_temperatura,Diferencia de temperatura,54.8,K,2024-11-28T12:00:00+00:00,2024-11-28T12:30:00+00:00
70,36,4,temperatura_ambiente,Temperatura ambiente,19.2,°C,2024-12-28T12:00:00+00:00,2024-12-28T12:30:00+00:00
71,36,5,dummy_mes,Dummy mes,0.0,adimensional,2024-12-28T12:00:00+00:00,2024-12-28T12:30:00+00:00
72,36,6,delta_temperatura,Diferencia de temperatura,56.6,K,2024-12-28T12:00:00+00:00,2024-12-28T12:30:00+00:00
73,37,7,kwh_generados,Electricidad generada,945.0,kWh,2024-01-28T12:00:00+00:00,2024-01-28T12:30:00+00:00
74,38,7,kwh_generados,Electricidad generada,990.0,kWh,2024-02-28T12:00:00+00:00,2024-02-28T12:30:00+00:00
75,39,7,kwh_generados,Electricidad generada,1035.0,kWh,2024-03-28T12:00:00+00:00,2024-03-28T12:30:00+00:00
76,40,7,kwh_generados,Electricidad generada,1080.0,kWh,2024-04-28T12:00:00+00:00,2024-04-28T12:30:00+00:00
77,41,7,kwh_generados,Electricidad generada,1125.0,kWh,2024-05-28T12:00:00+00:00,2024-05-28T12:30:00+00:00
78,42,7,kwh_generados,Electricidad generada,1170.0,kWh,2024-06-28T12:00:00+00:00,2024-06-28T12:30:00+00:00
79,43,7,kwh_generados,Electricidad generada,1215.0,kWh,2024-07-28T12:00:00+00:00,2024-07-28T12:30:00+00:00
80,44,7,kwh_generados,Electricidad generada,1260.0,kWh,2024-08-28T12:00:00+00:00,2024-08-28T12:30:00+00:00
81,45,7,kwh_generados,Electricidad generada,1305.0,kWh,2024-09-28T12:00:00+00:00,2024-09-28T12:30:00+00:00
82,46,7,kwh_generados,Electricidad generada,1350.0,kWh,2024-10-28T12:00:00+00:00,2024-10-28T12:30:00+00:00
83,47,7,kwh_generados,Electricidad generada,1395.0,kWh,2024-11-28T12:00:00+00:00,2024-11-28T12:30:00+00:00
84,48,7,kwh_generados,Electricidad generada,1440.0,kWh,2024-12-28T12:00:00+00:00,2024-12-28T12:30:00+00:00
85,49,8,kwh_generados,Electricidad generada,955.0,kWh,2024-01-28T12:00:00+00:00,2024-01-28T12:30:00+00:00
86,50,8,kwh_generados,Electricidad generada,1010.0,kWh,2024-02-28T12:00:00+00:00,2024-02-28T12:30:00+00:00
87,51,8,kwh_generados,Electricidad generada,1065.0,kWh,2024-03-28T12:00:00+00:00,2024-03-28T12:30:00+00:00
88,52,8,kwh_generados,Electricidad generada,1120.0,kWh,2024-04-28T12:00:00+00:00,2024-04-28T12:30:00+00:00
89,53,8,kwh_generados,Electricidad generada,1175.0,kWh,2024-05-28T12:00:00+00:00,2024-05-28T12:30:00+00:00
90,54,8,kwh_generados,Electricidad generada,1230.0,kWh,2024-06-28T12:00:00+00:00,2024-06-28T12:30:00+00:00
91,55,8,kwh_generados,Electricidad generada,1285.0,kWh,2024-07-28T12:00:00+00:00,2024-07-28T12:30:00+00:00
92,56,8,kwh_generados,Electricidad generada,1340.0,kWh,2024-08-28T12:00:00+00:00,2024-08-28T12:30:00+00:00
93,57,8,kwh_generados,Electricidad generada,1395.0,kWh,2024-09-28T12:00:00+00:00,2024-09-28T12:30:00+00:00
94,58,8,kwh_generados,Electricidad generada,1450.0,kWh,2024-10-28T12:00:00+00:00,2024-10-28T12:30:00+00:00
95,59,8,kwh_generados,Electricidad generada,1505.0,kWh,2024-11-28T12:00:00+00:00,2024-11-28T12:30:00+00:00
96,60,8,kwh_generados,Electricidad generada,1560.0,kWh,2024-12-28T12:00:00+00:00,2024-12-28T12:30:00+00:00
