id,energy_system_id,significant_energy_use_id,baseline_model_id,ide_id,area_id,energy_use_id,year,month,month_number,real_consumption,consumption_unit,expected_consumption,ide_real,ide_expected,difference,percentage_difference,energy_savings,accumulated_savings,compliance_status,comments,status,created_by,created_at,updated_by,updated_at
1,1,6,1,1,3,6,2024,1,1,7793.28,Litros,7422.175,39.9655,38.0624,371.105,4.9999,0,0.0,compliant,Seguimiento mensual LBEN_CEEA 01/2024,submitted,1,2024-01-28T12:00:00+00:00,2,2024-01-28T12:30:00+00:00
2,1,6,1,1,3,6,2024,2,2,9260.44,Litros,8268.25,44.0973,39.3726,992.19,12.0,0,0.0,warning,Seguimiento mensual LBEN_CEEA 02/2024,reviewed,1,2024-02-28T12:00:00+00:00,2,2024-02-28T12:30:00+00:00
3,1,6,1,1,3,6,2024,3,3,10754.9,Litros,9114.325,47.7996,40.5081,1640.575,18.0,0,0.0,warning,Seguimiento mensual LBEN_CEEA 03/2024,approved,1,2024-03-28T12:00:00+00:00,2,2024-03-28T12:30:00+00:00
4,1,6,1,1,3,6,2024,4,4,10657.63,Litros,9960.4,44.4068,41.5017,697.23,7.0,0,0.0,compliant,Seguimiento mensual LBEN_CEEA 04/2024,draft,1,2024-04-28T12:00:00+00:00,2,2024-04-28T12:30:00+00:00
5,1,6,1,1,3,6,2024,5,5,11130.67,Litros,10806.475,43.6497,42.3783,324.195,3.0,0,0.0,compliant,Seguimiento mensual LBEN_CEEA 05/2024,submitted,1,2024-05-28T12:00:00+00:00,2,2024-05-28T12:30:00+00:00
6,1,6,1,1,3,6,2024,6,6,14216.11,Litros,11652.55,52.6523,43.1576,2563.56,22.0,0,0.0,non_compliant,Seguimiento mensual LBEN_CEEA 06/2024,reviewed,1,2024-06-28T12:00:00+00:00,2,2024-06-28T12:30:00+00:00
7,1,6,1,1,3,6,2024,7,7,11998.68,Litros,12498.625,42.1006,43.8548,-499.945,-4.0,499.94,499.94,compliant,Seguimiento mensual LBEN_CEEA 07/2024,approved,1,2024-07-28T12:00:00+00:00,2,2024-07-28T12:30:00+00:00
8,1,6,1,1,3,6,2024,8,8,15346.4,Litros,13344.7,51.1547,44.4823,2001.7,15.0,0,499.94,warning,Seguimiento mensual LBEN_CEEA 08/2024,draft,1,2024-08-28T12:00:00+00:00,2,2024-08-28T12:30:00+00:00
9,1,6,1,1,3,6,2024,9,9,15467.94,Litros,14190.775,49.1046,45.0501,1277.165,9.0,0,499.94,compliant,Seguimiento mensual LBEN_CEEA 09/2024,submitted,1,2024-09-28T12:00:00+00:00,2,2024-09-28T12:30:00+00:00
10,1,6,1,1,3,6,2024,10,10,16690.9,Litros,15036.85,50.5785,45.5662,1654.05,11.0,0,499.94,warning,Seguimiento mensual LBEN_CEEA 10/2024,reviewed,1,2024-10-28T12:00:00+00:00,2,2024-10-28T12:30:00+00:00
11,1,6,1,1,3,6,2024,11,11,19694.83,Litros,15882.925,57.0865,46.0375,3811.905,24.0,0,499.94,non_compliant,Seguimiento mensual LBEN_CEEA 11/2024,approved,1,2024-11-28T12:00:00+00:00,2,2024-11-28T12:30:00+00:00
12,1,6,1,1,3,6,2024,12,12,16394.42,Litros,16729.0,45.5401,46.4694,-334.58,-2.0,334.58,834.52,compliant,Seguimiento mensual LBEN_CEEA 12/2024,draft,1,2024-12-28T12:00:00+00:00,2,2024-12-28T12:30:00+00:00
13,1,4,2,2,2,4,2024,1,1,9924.39,Litros,9542.6832,1.9396,1.865,381.7068,4.0,0,0.0,compliant,Seguimiento mensual LBEN_CEAM 01/2024,submitted,1,2024-01-28T12:00:00+00:00,2,2024-01-28T12:30:00+00:00
14,1,4,2,2,2,4,2024,2,2,11206.84,Litros,10281.5064,2.0589,1.8889,925.3336,9.0,0,0.0,compliant,Seguimiento mensual LBEN_CEAM 02/2024,reviewed,1,2024-02-28T12:00:00+00:00,2,2024-02-28T12:30:00+00:00
15,1,4,2,2,2,4,2024,3,3,12563.18,Litros,11020.3296,2.1739,1.9069,1542.8504,14.0,0,0.0,warning,Seguimiento mensual LBEN_CEAM 03/2024,approved,1,2024-03-28T12:00:00+00:00,2,2024-03-28T12:30:00+00:00
16,1,4,2,2,2,4,2024,4,4,12464.7,Litros,11759.1528,2.0351,1.9199,705.5472,6.0,0,0.0,compliant,Seguimiento mensual LBEN_CEAM 04/2024,draft,1,2024-04-28T12:00:00+00:00,2,2024-04-28T12:30:00+00:00
17,1,4,2,2,2,4,2024,5,5,12747.94,Litros,12497.976,1.9673,1.9287,249.964,2.0,0,0.0,compliant,Seguimiento mensual LBEN_CEAM 05/2024,submitted,1,2024-05-28T12:00:00+00:00,2,2024-05-28T12:30:00+00:00
18,1,4,2,2,2,4,2024,6,6,15619.42,Litros,13236.7992,2.2819,1.9338,2382.6208,18.0,0,0.0,warning,Seguimiento mensual LBEN_CEAM 06/2024,reviewed,1,2024-06-28T12:00:00+00:00,2,2024-06-28T12:30:00+00:00
19,1,4,2,2,2,4,2024,7,7,13556.35,Litros,13975.6224,1.8778,1.9359,-419.2724,-3.0,419.27,419.27,compliant,Seguimiento mensual LBEN_CEAM 07/2024,approved,1,2024-07-28T12:00:00+00:00,2,2024-07-28T12:30:00+00:00
20,1,4,2,2,2,4,2024,8,8,17804.48,Litros,14714.4456,2.3417,1.9353,3090.0344,21.0,0,419.27,non_compliant,Seguimiento mensual LBEN_CEAM 08/2024,draft,1,2024-08-28T12:00:00+00:00,2,2024-08-28T12:30:00+00:00
21,1,4,2,2,2,4,2024,9,9,16689.53,Litros,15453.2688,2.087,1.9324,1236.2612,8.0,0,419.27,compliant,Seguimiento mensual LBEN_CEAM 09/2024,submitted,1,2024-09-28T12:00:00+00:00,2,2024-09-28T12:30:00+00:00
22,1,4,2,2,2,4,2024,10,10,17811.3,Litros,16192.092,2.1204,1.9276,1619.208,10.0,0,419.27,compliant,Seguimiento mensual LBEN_CEAM 10/2024,reviewed,1,2024-10-28T12:00:00+00:00,2,2024-10-28T12:30:00+00:00
23,1,4,2,2,2,4,2024,11,11,20825.03,Litros,16930.9152,2.363,1.9212,3894.1148,23.0,0,419.27,non_compliant,Seguimiento mensual LBEN_CEAM 11/2024,approved,1,2024-11-28T12:00:00+00:00,2,2024-11-28T12:30:00+00:00
24,1,4,2,2,2,4,2024,12,12,17493.04,Litros,17669.7384,1.8942,1.9133,-176.6984,-1.0,176.7,595.97,compliant,Seguimiento mensual LBEN_CEAM 12/2024,draft,1,2024-12-28T12:00:00+00:00,2,2024-12-28T12:30:00+00:00
25,1,1,3,3,1,1,2024,1,1,18426.7,Litros,17890.0,500.7255,486.1413,536.7,3.0,0,0.0,compliant,Seguimiento mensual LBEN_CALDERA_GLP 01/2024,submitted,1,2024-01-28T12:00:00+00:00,2,2024-01-28T12:30:00+00:00
26,1,1,3,3,1,1,2024,2,2,20290.8,Litros,18280.0,525.6684,473.5751,2010.8,11.0,0,0.0,warning,Seguimiento mensual LBEN_CALDERA_GLP 02/2024,reviewed,1,2024-02-28T12:00:00+00:00,2,2024-02-28T12:30:00+00:00
27,1,1,3,3,1,1,2024,3,3,21843.9,Litros,18670.0,540.6906,462.1287,3173.9,17.0,0,0.0,warning,Seguimiento mensual LBEN_CALDERA_GLP 03/2024,approved,1,2024-03-28T12:00:00+00:00,2,2024-03-28T12:30:00+00:00
28,1,1,3,3,1,1,2024,4,4,20013.0,Litros,19060.0,474.2417,451.6588,953.0,5.0,0,0.0,compliant,Seguimiento mensual LBEN_CALDERA_GLP 04/2024,draft,1,2024-04-28T12:00:00+00:00,2,2024-04-28T12:30:00+00:00
29,1,1,3,3,1,1,2024,5,5,20228.0,Litros,19450.0,459.7273,442.0455,778.0,4.0,0,0.0,compliant,Seguimiento mensual LBEN_CALDERA_GLP 05/2024,submitted,1,2024-05-28T12:00:00+00:00,2,2024-05-28T12:30:00+00:00
30,1,1,3,3,1,1,2024,6,6,29559.6,Litros,24840.0,645.4061,542.3581,4719.6,19.0,0,0.0,warning,Seguimiento mensual LBEN_CALDERA_GLP 06/2024,reviewed,1,2024-06-28T12:00:00+00:00,2,2024-06-28T12:30:00+00:00
31,1,1,3,3,1,1,2024,7,7,24725.4,Litros,25230.0,519.4412,530.042,-504.6,-2.0,504.6,504.6,compliant,Seguimiento mensual LBEN_CALDERA_GLP 07/2024,approved,1,2024-07-28T12:00:00+00:00,2,2024-07-28T12:30:00+00:00
32,1,1,3,3,1,1,2024,8,8,29719.2,Litros,25620.0,601.6032,518.6235,4099.2,16.0,0,504.6,warning,Seguimiento mensual LBEN_CALDERA_GLP 08/2024,draft,1,2024-08-28T12:00:00+00:00,2,2024-08-28T12:30:00+00:00
33,1,1,3,3,1,1,2024,9,9,27830.7,Litros,26010.0,543.5684,508.0078,1820.7,7.0,0,504.6,compliant,Seguimiento mensual LBEN_CALDERA_GLP 09/2024,submitted,1,2024-09-28T12:00:00+00:00,2,2024-09-28T12:30:00+00:00
34,1,1,3,3,1,1,2024,10,10,24182.0,Litros,21400.0,456.2642,403.7736,2782.0,13.0,0,504.6,warning,Seguimiento mensual LBEN_CALDERA_GLP 10/2024,reviewed,1,2024-10-28T12:00:00+00:00,2,2024-10-28T12:30:00+00:00
35,1,1,3,3,1,1,2024,11,11,26365.9,Litros,21790.0,481.1296,397.6277,4575.9,21.0,0,504.6,non_compliant,Seguimiento mensual LBEN_CALDERA_GLP 11/2024,approved,1,2024-11-28T12:00:00+00:00,2,2024-11-28T12:30:00+00:00
36,1,1,3,3,1,1,2024,12,12,21514.6,Litros,22180.0,380.1166,391.8728,-665.4,-3.0,665.4,1170.0,compliant,Seguimiento mensual LBEN_CALDERA_GLP 12/2024,draft,1,2024-12-28T12:00:00+00:00,2,2024-12-28T12:30:00+00:00
37,1,2,4,4,1,2,2024,1,1,9586.73,Litros,9398.753,10.1447,9.9458,187.977,2.0,0,0.0,compliant,Seguimiento mensual LBEN_GEN_GLP 01/2024,submitted,1,2024-01-28T12:00:00+00:00,2,2024-01-28T12:30:00+00:00
